IND_NAME,DIM_GEO_NAME,DIM_1_CODE,VALUE_NUMERIC
Adolescent birth rate (per 1000 women),Afghanistan,AGEGROUP_YEARS15-19,62
Adolescent birth rate (per 1000 women),Afghanistan,AGEGROUP_YEARS10-14,18
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population) ,Afghanistan,SEX_BTSX,265.66
Age-standardized prevalence of hypertension among adults aged 30–79 years (%),Afghanistan,SEX_BTSX,40.2
Age-standardized prevalence of obesity among adults (18+ years) (%),Afghanistan,SEX_BTSX,19.22
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Afghanistan,SEX_BTSX,22.7
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2020 US$ millions),Afghanistan,NA,67.96
Annual mean concentrations of fine particulate matter (PM2.5) in urban areas (µg/m3),Afghanistan,NA,75.19
Average of 15 International Health Regulations core capacity scores,Afghanistan,NA,38.07
Density of dentists (per 10 000 population) ,Afghanistan,NA,0.71
Density of medical doctors (per 10 000 population) ,Afghanistan,NA,2.54
Density of nursing and midwifery personnel (per 10 000 population) ,Afghanistan,NA,4.52
Density of pharmacists (per 10 000 population) ,Afghanistan,NA,0.29
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Afghanistan,NA,69
Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Afghanistan,NA,4.05
Healthy life expectancy at birth (years),Afghanistan,SEX_FMLE,51.31
Healthy life expectancy at birth (years),Afghanistan,SEX_MLE,49.65
Healthy life expectancy at birth (years),Afghanistan,SEX_BTSX,50.45
Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),Afghanistan,NA,0.39
Life expectancy at birth (years),Afghanistan,SEX_BTSX,59.13
Life expectancy at birth (years),Afghanistan,SEX_FMLE,60.99
Life expectancy at birth (years),Afghanistan,SEX_MLE,57.4
Malaria incidence (per 1000 population at risk),Afghanistan,NA,9.06
Maternal mortality ratio (per 100 000 live births),Afghanistan,NA,620.41
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Afghanistan,NA,49
Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population),Afghanistan,SEX_BTSX,16.6
Mortality rate due to homicide (per 100 000 population),Afghanistan,NA,8.38
Mortality rate from unintentional poisoning (per 100 000 population),Afghanistan,NA,2.5
Neonatal mortality rate (per 1000 live births),Afghanistan,SEX_BTSX,35.49
New HIV infections (per 1000 uninfected population),Afghanistan,SEX_BTSX,0.03
Number of cases of poliomyelitis caused by wild poliovirus (WPV),Afghanistan,NA,6
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),Afghanistan,NA,67
Population with household expenditures on health > 10% of total household expenditure or income (%),Afghanistan,NA,26.08
Population with household expenditures on health > 25% of total household expenditure or income (%),Afghanistan,NA,8.03
